Filo	CRC25_kraken	CRC24_kraken	CRC09_kraken	CRC21_kraken	CRC22_kraken	CRC20_kraken	CRC04_kraken	CRC03_kraken	CRC02_kraken	CRC01_kraken	CRC18_kraken	CRC16_kraken	CRC32_kraken	CRC33_kraken	CRC06_kraken	CRC10_kraken	CRC05_kraken	CRC27_kraken	CRC13_kraken	CRC15_kraken	CRC11_kraken	CRC12_kraken	CRC07_kraken	CRC08_kraken	CRC28_kraken	CRC17_kraken	CRC30_kraken	CRC31_kraken	CRC19_kraken	CRC34_kraken	CRC26_kraken	CRC29_kraken	CRC23_kraken
Bacteroidetes	0.453239682	0.913701532	0.487144667	0.900450165	0.919635102	0.388364478	0.831495929	0.720877359	0.810065962	0.735922412	0.849982034	0.918055253	0.944488814	0.778979694	0.841529056	0.818995929	0.755927592	0.928237054	0.791582452	0.704282332	0.746442688	0.416351865	0.839349219	0.721244063	0.951831594	0.851503124	0.711853376	0.796315747	0.911883182	0.448072524	0.776272425	0.841476772	0.87962694
Firmicutes	0.266950229	0.019385847	0.177174085	0.033898854	0.014749373	0.344224751	0.061439959	0.107250601	0.055304649	0.053115236	0.055770152	0.016791077	0.006220971	0.076230939	0.048050032	0.038122117	0.144722083	0.007939113	0.053231115	0.179907169	0.107619675	0.40082464	0.025237514	0.159538559	0.006719692	0.063929235	0.138639779	0.05727129	0.037092984	0.209612273	0.126791587	0.047562921	0.047917551
Fusobacteria	0.140485214	0.000256673	0.098295492	0.00122604	0.001353447	0.000374464	0.001362152	0.000138454	0.007336392	0.001300666	4.49E-05	0.001837606	3.18E-05	0.011686861	3.75E-05	0.001845319	6.11E-05	9.67E-05	0.000952492	0.001374967	0.00017567	0.008178643	0.001254145	0.000106258	2.59E-05	6.33E-05	0.001361576	0.030455185	0.000184626	0.021171548	0.000134107	0.000464319	0.001769206
Proteobacteria	0.042469121	0.063234585	0.107764823	0.05689289	0.060915761	0.171309177	0.092488552	0.153443125	0.100401883	0.18217805	0.08678185	0.058578434	0.047455487	0.101096806	0.09996955	0.114100407	0.078999389	0.061840782	0.14298215	0.064125146	0.116480018	0.085591156	0.129274257	0.082526662	0.039896179	0.067083263	0.117611977	0.055380674	0.046038939	0.117411437	0.07165344	0.098602281	0.060301994
Tenericutes	0.034240321	0.00165286	0.027001971	0.003807664	0.000857893	0.043059751	0.005432709	0.007738833	0.015964445	0.005089562	0.002400487	0.002574724	0.000649477	0.017392309	0.006075938	0.004162822	0.011272142	0.000217652	0.00371704	0.027857329	0.011056214	0.045301007	0.001047984	0.020443944	0.000493627	0.007625401	0.01806032	0.043229873	0.002265861	0.116133891	0.012800526	0.005976617	0.004093384
Chloroflexi	0.027001929	0.000265135	0.000189286	0.00091606	0.000655409	0.000164619	0.000567122	0.001129491	0.000641335	0.00103205	0.00056394	0.000304537	0.000108246	0.002541459	0.000524676	0.000694708	0.000488645	0.000376572	0.001362915	0.000215601	0.000658762	0.000660661	0.000904817	0.000453365	0.000153263	0.000287114	0.000225449	0.007763055	0.000318899	0.007101813	0.000368795	0.000916732	0.000771001
Marinimicrobia(SAR406clade)	0.019315537	4.79E-05	0.008266934	0.000370125	0.00018117	0.001798151	0.000879834	0.000335204	0.000296692	0.000282753	0.000628818	0.000200718	8.28E-05	0.001296401	0.000112431	0.000189959	0.00069965	3.11E-05	0.000240059	0.00285977	0.009167765	0.003523525	0.000183254	0.001353012	4.98E-05	0.000367337	0.001473745	0.000254293	0.000251762	0.012663877	0.000640362	0.000238112	0.001158364
Elusimicrobia	0.012432457	0.000476678	0.010356969	0.000740251	0.000383654	0.011744062	0.002506996	0.00427749	0.003257622	0.003308215	0.001422326	0.000681748	0.000331106	0.003645325	0.001447544	0.009383989	0.004159032	6.91E-05	0.002021141	0.013310336	0.003348704	0.020819287	0.000544035	0.007622205	0.000207005	0.003268029	0.005527378	0.004646777	0.000587445	0.036993026	0.007724571	0.001023883	0.002082076
Cyanobacteria	0.001620356	0.000282058	0.075121548	0.000735624	0.000410297	0.024099568	0.001860371	0.002011222	0.003158724	0.002629607	0.000988142	0.000283773	0.000284715	0.004530985	0.000979083	0.000944369	0.001832417	0.00033166	0.00159523	0.00267061	0.000977163	0.015096948	0.000475315	0.00367651	0.000238852	0.002660024	0.002304462	0.00246554	0.000553877	0.00767643	0.001693103	0.00184537	0.001005654
Actinobacteria	0.00082391	0.000225646	0.000266005	0.000208196	0.00021847	0.001300675	0.000434617	0.000954602	0.000644332	0.011804957	0.000479099	0.000169572	0.000133716	0.000571187	0.000341976	0.003679783	0.000427564	0.000266019	0.000681457	0.00196482	0.001833553	0.001439902	0.000555489	0.000545455	9.95E-05	0.000907786	0.001230527	0.000481736	0.000436388	0.001020921	0.000643714	0.000464319	0.000350117
Patescibacteria	0.000332997	8.74E-05	0.000318345	0.000115664	8.53E-05	0.000510139	0.000185507	0.0003935	0.00026972	0.00024034	0.000184653	8.31E-05	1.64E-05	0.000157237	0.0001218	0.000113976	0.000283192	9.67E-05	0.000209084	0.000215601	0.000230567	0.000328636	0.000166074	0.000389611	3.78E-05	0.000181557	0.000124385	0.000167423	1.68E-05	0.000301255	0.000264862	0.00019049	0.000134087
Epsilonbacteraeota	0.000161349	5.08E-05	0.007273898	6.48E-05	7.99E-05	3.26E-05	0.000106004	5.83E-05	0.000320667	0.000113101	3.99E-05	0.000141887	1.73E-05	0.00088566	4.22E-05	0.006838535	7.22E-05	4.84E-05	0.000162621	9.97E-05	0.000109794	8.13E-05	0.000183254	8.15E-05	2.19E-05	5.91E-05	0.000463114	0.000424875	5.04E-05	0.002348675	7.04E-05	3.57E-05	4.47E-05
Verrucomicrobia	0.0001562	3.95E-05	0.000103247	0.000138797	7.99E-05	0.011418441	0.000593623	0.000262333	0.000446537	0.001343079	0.000129756	3.11E-05	2.91E-05	0.000198953	0.000107746	0.000195387	0.000227664	3.11E-05	0.000232315	0.000530868	0.000768555	0.000684377	9.16E-05	0.001151123	1.79E-05	0.000675562	0.000486436	0.000131095	6.71E-05	0.000898187	0.00023804	0.000166679	0.000268174
Planctomycetes	0.0001562	6.21E-05	0.000144833	0.000101784	9.06E-05	0.000133866	0.000143105	0.000306056	0.000176817	0.000593782	0.000139737	7.61E-05	3.18E-05	0.00035298	0.000140538	0.000141113	0.000177689	0.000134737	0.000309753	0.000109835	0.000285463	0.0001694	0.000217614	0.000177096	6.77E-05	0.000418004	0.000111058	0.0001769	8.39E-05	0.00037378	0.000150871	0.000178584	5.21E-05
Acidobacteria	0.000120154	7.90E-05	5.74E-05	0.00013417	0.000117228	0.000148338	0.000106004	0.000204037	0.000140854	0.000282753	0.000149719	6.92E-05	4.18E-05	0.00014761	8.90E-05	0.000130258	0.000127714	8.98E-05	0.00020134	9.15E-05	0.000373298	0.000121968	0.000148894	0.00018418	4.98E-05	0.000109779	5.33E-05	9.63E-05	1.68E-05	0.000256625	8.72E-05	0.000309546	8.94E-05
Halanaerobiaeota	9.78E-05	2.82E-06	7.17E-06	0	0	5.43E-06	0	7.29E-06	0	4.24E-05	4.99E-06	0	0	3.21E-06	4.68E-06	5.43E-06	5.55E-06	3.45E-06	7.74E-06	4.07E-06	1.10E-05	0	0	0	1.99E-06	1.27E-05	3.33E-06	9.48E-06	0	1.12E-05	0	0	0
Spirochaetes	5.32E-05	2.54E-05	7.74E-05	5.09E-05	2.66E-05	3.44E-05	0.000164306	0.000145741	0.000788183	0.000127239	5.49E-05	3.46E-05	6.37E-06	4.81E-05	6.09E-05	0.000130258	7.77E-05	6.56E-05	0.000108414	4.47E-05	5.49E-05	5.42E-05	0.00010308	7.44E-05	1.99E-05	5.91E-05	3.66E-05	3.47E-05	5.04E-05	0.015129707	6.37E-05	0.000166679	4.10E-05
