Genero	CRC25_kraken	CRC24_kraken	CRC09_kraken	CRC21_kraken	CRC22_kraken	CRC20_kraken	CRC04_kraken	CRC03_kraken	CRC02_kraken	CRC01_kraken	CRC18_kraken	CRC16_kraken	CRC32_kraken	CRC33_kraken	CRC06_kraken	CRC10_kraken	CRC05_kraken	CRC27_kraken	CRC13_kraken	CRC15_kraken	CRC11_kraken	CRC12_kraken	CRC07_kraken	CRC08_kraken	CRC28_kraken	CRC17_kraken	CRC30_kraken	CRC31_kraken	CRC19_kraken	CRC34_kraken	CRC26_kraken	CRC29_kraken	CRC23_kraken
uncultured	0.520222145	0.937279614	0.233327279	0.922890135	0.943843855	0.429895101	0.865200053	0.784376381	0.826804772	0.802881639	0.890039995	0.936442675	0.957973984	0.825525541	0.881667884	0.867595278	0.80546669	0.950195746	0.85030973	0.672733952	0.814708064	0.44577157	0.886638014	0.763174299	0.963206091	0.883821002	0.508099538	0.784547925	0.93147021	0.379443163	0.812970539	0.879713396	0.912103062
Chryseolinea	2.04E-06	2.89E-06	3.56E-06	0	5.46E-06	0	5.55E-06	0	0	0	5.23E-06	0	1.84E-06	0	0	0	0	7.05E-06	0	2.27E-06	0	0	0	3.90E-06	2.01E-06	0	1.38E-05	1.66E-06	0	0	3.55E-06	0	0
Emticicia	2.04E-06	0	0	0	0	6.92E-06	0	0	6.42E-06	1.55E-05	0	0	0	0	0	5.74E-06	0	0	0	0	1.22E-05	0	0	3.90E-06	0	0	0	0	0	3.26E-05	3.55E-06	0	0
Spirosoma	2.04E-06	0	3.56E-05	0	0	4.61E-06	5.55E-06	7.89E-06	3.21E-06	1.55E-05	0	0	1.84E-06	1.03E-05	4.90E-06	5.74E-06	0	0	0	0	1.22E-05	4.15E-06	6.04E-06	0	2.01E-06	8.93E-06	2.76E-06	1.66E-06	0	6.52E-06	3.55E-06	0	0
Pseudarcicella	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.44E-06	0	0	1.20E-05	0	8.29E-06	0	1.22E-05	0	0	3.90E-06	2.01E-06	0	0	0	0	0	0	0	0
Persicitalea	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusAmoebophilus	4.08E-06	2.89E-06	2.67E-06	0	0	0	0	0	3.21E-06	1.55E-05	0	0	9.22E-07	0	0	5.74E-06	0	0	0	6.80E-06	0	4.15E-06	0	0	0	8.93E-06	1.38E-06	0	0	6.52E-06	7.10E-06	1.25E-05	0
Flammeovirga	2.04E-06	0	0	0	5.46E-06	4.61E-06	0	0	0	0	5.23E-06	3.54E-06	1.84E-06	0	0	0	5.98E-06	0	0	5.67E-05	0	4.15E-05	0	1.56E-05	0	1.34E-05	2.48E-05	0	0	1.96E-05	3.55E-06	0	0
Hymenobacter	2.04E-06	0	1.78E-06	0	0	1.38E-05	0	3.16E-05	3.21E-06	0	1.05E-05	0	9.22E-07	6.89E-06	0	5.74E-06	0	0	8.29E-06	4.54E-06	1.22E-05	1.25E-05	1.21E-05	0	4.03E-06	3.12E-05	4.14E-06	4.99E-06	0	3.26E-05	3.55E-06	1.25E-05	3.89E-06
Myroides	0.013169948	0.000820176	0.195751	0.002485269	0.00067737	0.024770029	0.004593118	0.002082939	0.016846898	0.006484462	0.003140967	0.002984345	0.000628218	0.007007214	0.000960695	0.002584796	0.00532796	0.000130498	0.00271169	0.055308515	0.008817055	0.033559891	0.00217911	0.015478779	0.000281822	0.007026002	0.156054319	0.020517741	0.001165881	0.071859644	0.003661326	0.002579439	0.005132838
NS2bmarinegroup	0.000285638	2.60E-05	0.00010951	4.28E-05	5.46E-06	0.000352738	0.000122187	0.000149908	0.001072396	0.000263093	6.28E-05	8.51E-05	9.22E-06	0.00075065	0.000593082	4.02E-05	0.000101656	0	0.000107804	0.000446713	0.000255391	0.000735343	1.21E-05	0.000342847	6.04E-06	0.000946323	0.000562487	0.003746371	3.43E-05	0.001818324	0.00045811	6.23E-05	0.000257031
Tenacibaculum	2.65E-05	0	3.65E-05	0	0	8.76E-05	3.33E-05	0	1.93E-05	0	5.23E-06	3.54E-06	0	3.44E-06	4.90E-06	2.30E-05	1.79E-05	0	8.29E-06	3.40E-05	2.43E-05	0.000108016	0	3.51E-05	0	0	2.34E-05	1.16E-05	1.71E-05	2.61E-05	3.55E-06	1.25E-05	7.79E-06
Flavobacterium	2.45E-05	1.44E-05	3.56E-05	2.85E-05	6.56E-05	3.92E-05	2.22E-05	9.47E-05	0.00012522	4.64E-05	4.71E-05	2.48E-05	2.77E-06	3.44E-05	3.43E-05	5.17E-05	5.98E-05	1.76E-05	0.000132682	4.08E-05	7.30E-05	2.49E-05	4.23E-05	3.12E-05	6.04E-06	6.25E-05	0.000139243	2.00E-05	3.43E-05	5.21E-05	4.26E-05	4.98E-05	1.95E-05
Capnocytophaga	2.04E-05	0	3.56E-06	0	5.46E-06	4.61E-06	0	7.89E-06	9.63E-06	6.19E-05	1.05E-05	0	0	1.03E-05	0	1.15E-05	5.98E-06	0	0	4.54E-06	0	1.25E-05	0	0	0	1.34E-05	5.51E-06	0	0	0	7.10E-06	0	1.17E-05
Aquibacter	1.63E-05	0	1.16E-05	0	0	2.07E-05	0	0	3.21E-06	0	5.23E-06	7.09E-06	9.22E-07	0	4.90E-06	0	0	0	0	5.67E-05	3.65E-05	1.25E-05	6.04E-06	2.34E-05	0	0	5.38E-05	8.31E-06	1.71E-05	0	3.55E-06	0	1.17E-05
Aequorivita	6.12E-06	0	2.67E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.31E-06	0	0	0	0	0	0	0	0	0	0	0
Formosa	6.12E-06	0	2.67E-06	0	0	2.77E-05	5.55E-06	0	3.21E-06	3.10E-05	1.05E-05	0	0	0	0	0	0	3.53E-06	0	2.27E-06	0	4.15E-06	1.21E-05	3.90E-06	0	4.46E-06	4.14E-06	1.16E-05	0	6.52E-06	7.10E-06	0	0
Gramella	4.08E-06	0	0	0	5.46E-06	0	5.55E-06	0	0	0	1.05E-05	0	0	0	0	0	0	0	0	0	0	4.15E-06	6.04E-06	3.90E-06	0	0	0	1.66E-06	0	0	0	0	0
Arenibacter	2.04E-06	0	8.90E-07	0	1.64E-05	0	0	0	0	1.55E-05	0	3.54E-06	0	0	0	5.74E-06	0	1.06E-05	0	0	0	0	0	0	0	0	0	0	0	6.52E-06	0	0	0
Mesonia	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maribacter	2.04E-06	0	0	0	0	2.31E-06	0	0	0	0	5.23E-06	0	0	0	0	0	0	0	0	2.27E-06	0	0	6.04E-06	0	0	0	1.38E-06	0	0	0	0	0	0
