Filo	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34
Actinobacteria	0.024039016	0.022740742	0.057894573	0.011735933	0.006693878	0.00677555	0.002249736	0.013688246	0.001977274	0.026491711	0.029419908	0.007343433	0.00124855	0.031065262	0.005911126	0.004110651	0.032138573	0.005658303	0.022494038	0.017318298	0.000277904	0.003625786	0.009909082	0.000748238	0.025607722	0	0.032622308	0.003235694	0.020203368	0.001801001	0.090571376	0.004753417	0.001093434
Bacteroidetes	0.475091856	0.450824345	0.035104295	0.52919376	0.331666781	0.642794058	0.721151984	0.305202889	0.614145429	0.276645607	0.577469509	0.479095161	0.239701167	0.461920631	0.346239026	0.362711795	0.233940144	0.244568698	0.445236239	0.615988699	0.443312617	0.404034808	0.357369059	0.156638895	0.308880635	0.887233726	0.369851856	0.647270006	0.618931259	0.143707902	0.249585959	0.691034756	0.859338589
Chloroflexi	0	0.000220126	0.001744313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria	1.65E-05	0	0.000508758	0	0	0	0	3.70E-05	0	0	0.024674448	0	0	0	0	0.001777393	0	0	0	0	0	0.006298276	0.000248092	0	0	0	0	0	0.000109142	0	0	0	0
Deferribacteres	0	0	0	1.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus	0	0	0.000789094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epsilonbacteraeota	2.88E-05	2.82E-05	0	4.17E-05	4.39E-05	0	0.001311104	0	0.018020273	0.024882553	0	0	0	0.000965731	0.170482609	0.0001098	0	0	2.85E-05	0.000119712	7.07E-05	0	0.000102155	0.000123941	0	4.97E-05	3.05E-05	2.63E-05	0.001637128	0.030220803	0.000138014	0.015817403	0.00042264
Euryarchaeota	0	0	0.004558056	0	0	0	0	9.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0.462265006	0.277308363	0.89076241	0.4333197	0.657093753	0.35015357	0.242420179	0.668154028	0.132216795	0.653199417	0.331317606	0.498044412	0.721900798	0.495531403	0.342786886	0.630439407	0.731748535	0.692530466	0.531859913	0.354059425	0.555969885	0.560367304	0.620404828	0.335467879	0.663603407	0.079894732	0.593789136	0.349448357	0.345731038	0.219902266	0.659394121	0.17860143	0.115264266
Fusobacteria	0.020830244	0.22061737	0.000311484	0.019331736	0.003373793	0	0.028605909	0	0.233144632	0.016334575	4.86E-05	0.015373318	0.026246845	0.009406104	0.134580353	0	0	0.052740741	0	0.011500307	0	0.016165303	0.003079258	0.507007276	0.001881547	0.032821888	6.11E-05	0	0.012478551	0.583788586	0.000138014	0.095327856	0.003920078
Patescibacteria	0	6.77E-05	0.000882539	0	0	0	0.000916283	0	6.64E-05	0	0	0	0	0.000630795	0	0	0	0	0.000284591	0	0.000181901	0.002053254	0.001269647	0	0	0	0	0	0	0.000948527	0	1.37E-05	0
Planctomycetes	0	0	0.000456844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0.000486053	0.000547494	0.006094712	0.006276971	0.00108391	0.000224094	1.49E-05	0.012622029	0.000270789	0	0.000466289	0.000143676	0	0.000480074	0	2.75E-05	0.002172749	0.004243728	9.68E-05	0.000175577	0.00016169	0	0.00537046	1.38E-05	8.90E-06	0	0.000366543	0	0.000157649	0	0.000172517	0.013870961	0.00090344
Spirochaetes	0	3.39E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistetes	0.013255235	0.018716381	0.000456844	4.17E-05	0	0	0.003203266	0	0	0.000280793	0	0	0.000600396	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003278522	1.97E-05	0	0.019630915	0	0	0.019057553
Tenericutes	0	0.008003567	0	0	0	0	0	0	0	0	0	0	0.010302245	0	0	0	0	0	0	0	0	0.004155395	0	0	0	0	0	0	0	0	0	0.000580518	0
Verrucomicrobia	0.00398728	0.000891794	0.000436078	4.17E-05	4.39E-05	5.27E-05	0.000126641	0.000203382	0.000158386	0.002165344	0.036603669	0	0	0	0	0.000823503	0	0.000258065	0	0.000837982	2.53E-05	0.003299873	0.002247421	0	1.78E-05	0	0	0	0.000751866	0	0	0	0
