Genero	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34
[Bacteroides] pectinophilus group	0	0.000142905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023344042	0	0	0	0	0	0	0	0
[Clostridium] innocuum group	0.000119042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] brachy group	0	0	0	0	0.00352602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209578	0	0	0	0
[Eubacterium] coprostanoligenes group	0.010524227	0.000485878	0.001388338	0.001376723	0.009962233	0.000414938	0	0.027950432	0.000749926	0.045307624	0.002063914	0.001535662	0.004459754	0.01408475	0.002788703	0.039027458	0.012651396	0.008256593	0.026193548	0.00575312	0.000377164	0.005070766	0.025035716	0.000294982	0.015159361	0	0.000206574	0.026939085	0.001149506	0.000253094	0.00043906	4.82E-05	0.000672368
[Eubacterium] eligens group	0	0.007311036	0.035852684	0.005704796	0.026731265	0.00186722	0	0.017197253	6.68E-05	0.040589241	0	0.001686565	0.033864628	0.012611233	0.00214929	0.015485185	0	0	0.018229498	0.017469636	0.010095583	0.000125101	0.003554131	0	0	0	0.004647907	0.001973769	0.016074026	0.002000651	0.000474659	0	7.47E-05
[Eubacterium] fissicatena group	0.000202813	0	0	0	0	0	0	0	0	0	0	0	0.000121472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] hallii group	0.002764428	2.29E-05	0.002517316	0	0.000599478	0	0.000790021	0.000881408	2.57E-05	0.006767969	0.003232948	0.00395899	0.000676772	0.002319638	0	0.00044928	0.003966339	0.000830725	0.00182295	0	0.000676828	0	0.000226489	0	0.001717251	0.000819645	0	0.001365905	0.000279438	0	0	0	0.001427308
[Eubacterium] nodatum group	0	0	0.007612974	0	0	0	0	0	0	0	0	0	0	0.000195701	0	0	0	0	0	0.000277563	0	0	0	0	0	0.000618915	0	0	0.000107965	0	0	0	0.000267374
[Eubacterium] ruminantium group	0	0	0	0	0	0	0	0	0.000410918	0	0	0	0	0	0	0	0.002347091	0	0	0.00676244	0	0	0	0	0.000533669	0	0	0	0	0	0	0	0
[Eubacterium] ventriosum group	0.000617257	0	0	0	0.001994626	0	0	5.88E-05	0	0.008111656	0	0.000168657	0	0.000149654	0	0.000381888	0	0.013534733	0.000102957	0	0	0	0.003902575	0	0.00020607	0	0	0	0.000393753	0.000819544	0.00023733	0	0
[Eubacterium] xylanophilum group	0.00267184	0.000114324	0	0	0.005575145	0	0	0.004328693	0	0	0	0.000727886	0	0	0	0.010048897	0.002469762	0.002715051	0.002186328	0	0	0	0	0	0.000729171	0	6.89E-05	0	0.001397189	0	0	0	0.000114027
[Ruminococcus] gauvreauii group	0.001089017	0	0.000320386	7.74E-05	0.006098325	0	0	0.000633308	0	0	0.000108627	0.006719631	0.000147502	0	0	0	0.001472043	0.001195433	0.001441402	0	0	0.009908009	0	9.36E-05	0.000750306	0.002642936	0.01490773	0	0.000120666	0	0.001601975	0	0.000369606
